Date,Home,Away,Score,Season
24.11. 18:00,Perth Wildcats,Sydney Kings,98 : 55,2013/14
24.11. 14:00,Melbourne United,Townsville,75 : 90,2013/14
23.11. 20:30,Cairns Taipans,Illawarra Hawks,73 : 75,2013/14
22.11. 20:00,Adelaide 36ers,Perth Wildcats,91 : 86,2013/14
22.11. 17:30,NZ Breakers,Townsville,81 : 74,2013/14
17.11. 14:00,Illawarra Hawks,Perth Wildcats,76 : 89,2013/14
16.11. 19:30,Melbourne United,Cairns Taipans,88 : 85,2013/14
15.11. 19:30,Sydney Kings,Townsville,88 : 67,2013/14
15.11. 17:30,NZ Breakers,Adelaide 36ers,94 : 95,2013/14
14.11. 22:00,Perth Wildcats,Cairns Taipans,75 : 68,2013/14
10.11. 14:00,Melbourne United,Illawarra Hawks,81 : 76,2013/14
08.11. 20:30,Townsville,NZ Breakers,91 : 78,2013/14
08.11. 20:00,Adelaide 36ers,Melbourne United,90 : 87,2013/14
08.11. 19:30,Sydney Kings,Cairns Taipans,99 : 86,2013/14
03.11. 14:00,Adelaide 36ers,Sydney Kings,97 : 84,2013/14
03.11. 14:00,Illawarra Hawks,NZ Breakers,89 : 97,2013/14
02.11. 20:30,Cairns Taipans,Melbourne United,74 : 86,2013/14
01.11. 21:30,Perth Wildcats,Illawarra Hawks,87 : 47,2013/14
01.11. 20:30,Townsville,Sydney Kings,86 : 88,2013/14
31.10. 17:30,NZ Breakers,Adelaide 36ers,93 : 96,2013/14
27.10. 14:00,Melbourne United,Adelaide 36ers,93 : 79,2013/14
27.10. 14:00,Sydney Kings,Perth Wildcats,72 : 82,2013/14
26.10. 19:30,Illawarra Hawks,Townsville,85 : 81,2013/14
25.10. 20:30,Cairns Taipans,Adelaide 36ers,84 : 87,2013/14
24.10. 17:30,NZ Breakers,Perth Wildcats,89 : 96,2013/14
20.10. 14:00,Melbourne United,Perth Wildcats,71 : 75,2013/14
19.10. 20:00,Adelaide 36ers,Illawarra Hawks,97 : 91,2013/14
19.10. 19:30,Cairns Taipans,NZ Breakers,86 : 85,2013/14
18.10. 21:30,Perth Wildcats,Sydney Kings,81 : 69,2013/14
18.10. 20:30,Townsville,NZ Breakers,94 : 84,2013/14
13.10. 14:00,Sydney Kings,Melbourne United,73 : 69,2013/14
12.10. 21:00,Townsville,Cairns Taipans,92 : 103,2013/14
11.10. 21:30,Perth Wildcats,Adelaide 36ers,83 : 80,2013/14
10.10. 17:30,NZ Breakers,Illawarra Hawks,92 : 73,2013/14
08.03. 13:00,NZ Breakers ,Cairns Taipans,83 : 81,2014/15
06.03. 20:30,Cairns Taipans,NZ Breakers,71 : 86,2014/15
01.03. 21:30,Perth Wildcats,Cairns Taipans ,68 : 80,2014/15
28.02. 20:00,Adelaide 36ers,NZ Breakers ,83 : 94,2014/15
27.02. 20:30,Cairns Taipans,Perth Wildcats,71 : 64,2014/15
26.02. 17:30,NZ Breakers,Adelaide 36ers,111 : 82,2014/15
22.02. 17:00,Illawarra Hawks,Adelaide 36ers,85 : 105,2014/15
22.02. 17:00,Perth Wildcats,Townsville,81 : 71,2014/15
22.02. 14:00,Melbourne United,Sydney Kings,95 : 92,2014/15
22.02. 14:00,NZ Breakers,Cairns Taipans,77 : 81,2014/15
20.02. 20:30,Townsville,Illawarra Hawks,82 : 66,2014/15
20.02. 20:00,Adelaide 36ers,Perth Wildcats,101 : 94,2014/15
20.02. 19:30,Sydney Kings,Melbourne United,88 : 91,2014/15
15.02. 17:00,Perth Wildcats,NZ Breakers,87 : 89,2014/15
,,,,
15.02. 14:00,Sydney Kings,Illawarra Hawks,73 : 75,2014/15
14.02. 20:30,Townsville,Melbourne United,105 : 68,2014/15
13.02. 20:30,Cairns Taipans,Melbourne United,84 : 62,2014/15
12.02. 17:30,NZ Breakers,Adelaide 36ers,88 : 93,2014/15
08.02. 14:00,Sydney Kings,Cairns Taipans,78 : 92,2014/15
07.02. 20:30,Townsville,NZ Breakers,79 : 71,2014/15
07.02. 19:00,Melbourne United,Illawarra Hawks,76 : 82,2014/15
06.02. 21:30,Perth Wildcats,Cairns Taipans,65 : 54,2014/15
06.02. 20:00,Adelaide 36ers,Sydney Kings,97 : 78,2014/15
01.02. 17:00,Cairns Taipans,Illawarra Hawks,63 : 60,2014/15
01.02. 17:00,Perth Wildcats,Sydney Kings,80 : 61,2014/15
01.02. 14:00,Adelaide 36ers,Townsville,84 : 77,2014/15
30.01. 19:30,Illawarra Hawks,Melbourne United,93 : 82,2014/15
29.01. 17:30,NZ Breakers,Perth Wildcats,90 : 79,2014/15
25.01. 19:00,Melbourne United,Townsville,69 : 81,2014/15
25.01. 14:00,Sydney Kings,Adelaide 36ers,86 : 105,2014/15
24.01. 20:30,Cairns Taipans,Perth Wildcats,92 : 66,2014/15
23.01. 20:30,Townsville,Perth Wildcats,85 : 93,2014/15
,,,,
23.01. 19:30,Illawarra Hawks,Adelaide 36ers,85 : 89,2014/15
23.01. 17:30,NZ Breakers,Sydney Kings,81 : 101,2014/15
21.01. 22:00,Perth Wildcats,Melbourne United,78 : 86,2014/15
18.01. 14:00,Adelaide 36ers,Illawarra Hawks,83 : 78,2014/15
18.01. 14:00,NZ Breakers,Melbourne United,88 : 75,2014/15
17.01. 20:30,Cairns Taipans,Sydney Kings,80 : 76,2014/15
16.01. 21:30,Perth Wildcats,Adelaide 36ers,102 : 106,2014/15
16.01. 20:30,Townsville,Sydney Kings,81 : 89,2014/15
11.01. 17:00,Townsville,Cairns Taipans,73 : 78,2014/15
11.01. 14:00,Illawarra Hawks,NZ Breakers,84 : 86,2014/15
10.01. 19:00,Melbourne United,Adelaide 36ers,89 : 91,2014/15
09.01. 20:30,Cairns Taipans,Perth Wildcats,91 : 76,2014/15
09.01. 19:30,Sydney Kings,Townsville,89 : 98,2014/15
08.01. 17:30,NZ Breakers,Illawarra Hawks,98 : 91,2014/15
,,,,
04.01. 14:00,Adelaide 36ers,NZ Breakers,74 : 81,2014/15
03.01. 20:30,Townsville,Cairns Taipans,75 : 79,2014/15
02.01. 19:30,Sydney Kings,Melbourne United,68 : 82,2014/15
31.12. 20:30,Townsville,Sydney Kings,93 : 92,2014/15
31.12. 19:30,Cairns Taipans,Adelaide 36ers,77 : 84,2014/15
,,,,
31.12. 17:30,Illawarra Hawks,Perth Wildcats,77 : 86,2014/15
28.12. 14:00,Melbourne United,Perth Wildcats,80 : 81,2014/15
,,,,
